local_goals_x,local_goals_y
-0.3529612069257179,-3.2030850893009595e-11
-0.4525334834950901,-0.0244028413416857
-0.5477340009037134,-0.0584006474659848
-0.6361185644975305,-0.1002794914512408
-0.7218626316857152,-0.1513980279266835
-0.8095245600736015,-0.2068608899747765
-0.8903551554724803,-0.2580016331014693
-0.9747634162387644,-0.3114059308190705
-1.059772768991657,-0.3646789862848844
-1.1483986017099437,-0.3778282500177641
-1.2315836661878643,-0.3197849880932841
-1.3121381978604305,-0.263577208362464
-1.3934455756234272,-0.206844122279064
-1.4785171838384494,-0.1474845044325902
-1.5589110582386132,-0.108048542725846
-1.6256451446783842,-0.1814959412898113
-1.6870432045690251,-0.26283449869111
-1.7400055904352378,-0.3466631182557712
-1.7996219537688856,-0.429316441850934
-1.8638879543418243,-0.5019496531223764
-1.938665735410966,-0.5711881260753425
-2.0160207889342883,-0.6296851166277178
-2.10300920057668,-0.682776537012492
-2.1941906682480523,-0.7264220326492017
-2.286167233227117,-0.7596783125062283
-2.384176844223985,-0.7844392795407048
-2.483847220194063,-0.7840197283639596
-2.579904827355848,-0.7618884599240844
-2.6755541347349445,-0.7362629764881704
-2.771919129075727,-0.7051910165266856
-2.86624841389626,-0.6648980932803245
-2.955953051968739,-0.6248802849501172
-3.048215855443912,-0.5859362484432712
-3.1413146700940007,-0.5565231491402619
